               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.018709,           0.0070807,           0.0073378,             0.96588,             0.93988,             0.96679,             0.83448,            0.014659,           0.0028207,            0.002354,           0.0024513,           0.0024513,           0.0024513
                  63,             0.01864,           0.0070427,           0.0072957,             0.96858,             0.94074,             0.96767,             0.82937,            0.014686,           0.0028501,           0.0015631,           0.0023275,           0.0023275,           0.0023275
                  64,            0.018249,           0.0069777,           0.0070451,             0.96766,             0.94286,             0.96603,             0.82871,            0.014721,           0.0028419,           0.0014239,           0.0022038,           0.0022038,           0.0022038
                  65,            0.017972,           0.0068936,           0.0065966,             0.96143,             0.94339,             0.96642,             0.82979,            0.014665,           0.0027941,           0.0020151,             0.00208,             0.00208,             0.00208
                  66,            0.017983,            0.006934,           0.0067647,             0.97464,              0.9404,             0.96497,             0.83429,             0.01458,           0.0028131,           0.0019716,           0.0019563,           0.0019563,           0.0019563
                  67,            0.018072,           0.0068492,           0.0067692,             0.97388,             0.94584,             0.96352,             0.83568,            0.014572,           0.0027908,           0.0022975,           0.0018325,           0.0018325,           0.0018325
                  68,            0.017645,           0.0066492,           0.0065644,             0.97168,             0.93822,             0.96404,             0.83125,            0.014531,           0.0027897,           0.0025598,           0.0017087,           0.0017087,           0.0017087
                  69,            0.017557,           0.0066519,           0.0063964,             0.97331,             0.93999,             0.96397,             0.83391,            0.014329,           0.0027836,           0.0026673,            0.001585,            0.001585,            0.001585
                  70,            0.017394,           0.0067551,           0.0062447,             0.96639,             0.94408,             0.96414,             0.83617,            0.014393,           0.0027634,           0.0023403,           0.0014612,           0.0014612,           0.0014612
                  71,            0.017265,           0.0067355,           0.0061676,             0.97141,             0.94132,             0.96603,             0.83804,            0.014329,            0.002726,           0.0025288,           0.0013375,           0.0013375,           0.0013375
                  72,            0.017058,           0.0067136,            0.005981,             0.97278,             0.93819,             0.96449,             0.83574,            0.014496,           0.0027458,           0.0027146,           0.0012138,           0.0012138,           0.0012138
                  73,            0.016939,           0.0065498,           0.0060739,             0.96804,             0.94089,             0.96223,             0.83603,            0.014191,           0.0027834,           0.0028209,             0.00109,             0.00109,             0.00109
                  74,            0.016717,           0.0066346,           0.0058108,             0.97409,             0.93928,             0.96558,             0.84146,            0.014284,           0.0027469,           0.0027299,          0.00096625,          0.00096625,          0.00096625
                  75,            0.016725,           0.0065945,            0.005737,             0.97284,             0.94159,              0.9651,             0.83472,            0.014277,           0.0027757,           0.0025103,           0.0008425,           0.0008425,           0.0008425
                  76,            0.016409,           0.0064309,           0.0059729,             0.97449,             0.94401,             0.96557,             0.83483,            0.014232,           0.0027619,           0.0023431,          0.00071875,          0.00071875,          0.00071875
                  77,            0.016356,           0.0064469,           0.0055027,             0.97134,             0.94402,             0.96643,             0.83972,             0.01433,           0.0027701,            0.002661,            0.000595,            0.000595,            0.000595
                  78,            0.016155,           0.0064533,           0.0054665,             0.97207,             0.94444,             0.96599,             0.84176,            0.014168,           0.0027514,           0.0026481,          0.00047125,          0.00047125,          0.00047125
                  79,            0.016181,           0.0064553,           0.0055302,             0.97155,             0.94537,             0.96543,             0.84232,            0.014197,           0.0027459,           0.0024318,           0.0003475,           0.0003475,           0.0003475
